pk_time_id,time,hour,minute,shift_type
1,10:06:30,10,6,Morning
2,02:51:32,2,51,Morning
3,04:46:47,4,46,Morning
4,06:21:52,6,21,Morning
5,22:26:11,22,26,Evening
6,15:42:52,15,42,Afternoon
7,01:32:14,1,32,Morning
8,09:54:30,9,54,Morning
9,17:15:47,17,15,Afternoon
10,10:08:06,10,8,Morning
11,18:12:37,18,12,Evening
12,22:35:35,22,35,Evening
13,07:18:56,7,18,Morning
14,09:09:19,9,9,Morning
15,12:49:42,12,49,Afternoon
16,20:35:23,20,35,Evening
17,15:38:46,15,38,Afternoon
18,19:29:58,19,29,Evening
19,07:33:17,7,33,Morning
20,05:45:19,5,45,Morning
21,06:57:12,6,57,Morning
22,16:33:44,16,33,Afternoon
23,21:42:57,21,42,Evening
24,15:10:46,15,10,Afternoon
25,02:22:16,2,22,Morning
26,15:45:47,15,45,Afternoon
27,12:41:52,12,41,Afternoon
28,19:57:00,19,57,Evening
29,20:39:13,20,39,Evening
30,23:51:54,23,51,Evening
31,04:45:27,4,45,Morning
32,23:11:28,23,11,Evening
33,03:12:19,3,12,Morning
34,12:59:21,12,59,Afternoon
35,12:50:19,12,50,Afternoon
36,04:04:52,4,4,Morning
37,03:42:14,3,42,Morning
38,02:11:43,2,11,Morning
39,07:55:27,7,55,Morning
40,04:20:29,4,20,Morning
41,16:06:48,16,6,Afternoon
42,23:07:56,23,7,Evening
43,07:25:08,7,25,Morning
44,03:01:00,3,1,Morning
45,18:41:40,18,41,Evening
46,19:52:25,19,52,Evening
47,16:43:33,16,43,Afternoon
48,11:46:12,11,46,Morning
49,19:08:26,19,8,Evening
50,15:57:22,15,57,Afternoon
51,23:53:10,23,53,Evening
52,12:31:57,12,31,Afternoon
53,14:39:32,14,39,Afternoon
54,00:53:10,0,53,Morning
55,13:21:53,13,21,Afternoon
56,08:55:25,8,55,Morning
57,04:50:59,4,50,Morning
58,13:04:45,13,4,Afternoon
59,05:12:48,5,12,Morning
60,16:58:02,16,58,Afternoon
61,01:54:55,1,54,Morning
62,13:58:31,13,58,Afternoon
63,18:37:47,18,37,Evening
64,19:43:37,19,43,Evening
65,06:38:52,6,38,Morning
66,15:14:07,15,14,Afternoon
67,23:44:28,23,44,Evening
68,10:48:51,10,48,Morning
69,15:30:23,15,30,Afternoon
70,22:37:06,22,37,Evening
71,02:14:31,2,14,Morning
72,14:50:13,14,50,Afternoon
73,04:19:00,4,19,Morning
74,23:43:55,23,43,Evening
75,05:29:47,5,29,Morning
76,05:49:42,5,49,Morning
77,06:16:46,6,16,Morning
78,13:02:16,13,2,Afternoon
79,02:23:13,2,23,Morning
80,04:49:18,4,49,Morning
81,22:49:03,22,49,Evening
82,10:23:01,10,23,Morning
83,07:47:54,7,47,Morning
84,05:43:15,5,43,Morning
85,12:16:34,12,16,Afternoon
86,13:42:57,13,42,Afternoon
87,07:27:33,7,27,Morning
88,20:28:39,20,28,Evening
89,14:01:33,14,1,Afternoon
90,10:08:15,10,8,Morning
91,03:48:23,3,48,Morning
92,14:44:40,14,44,Afternoon
93,08:33:35,8,33,Morning
94,08:12:45,8,12,Morning
95,17:35:21,17,35,Afternoon
96,16:14:13,16,14,Afternoon
97,09:12:41,9,12,Morning
98,15:33:11,15,33,Afternoon
99,02:41:56,2,41,Morning
100,00:02:12,0,2,Morning
101,14:26:30,14,26,Afternoon
102,19:08:41,19,8,Evening
103,10:08:58,10,8,Morning
104,02:00:13,2,0,Morning
105,12:17:03,12,17,Afternoon
106,18:59:31,18,59,Evening
107,18:57:54,18,57,Evening
108,01:08:54,1,8,Morning
109,11:00:01,11,0,Morning
110,20:31:29,20,31,Evening
111,04:21:30,4,21,Morning
112,00:31:49,0,31,Morning
113,22:13:52,22,13,Evening
114,03:21:02,3,21,Morning
115,20:56:26,20,56,Evening
116,01:25:53,1,25,Morning
117,02:54:41,2,54,Morning
118,18:27:05,18,27,Evening
119,17:40:00,17,40,Afternoon
120,23:36:21,23,36,Evening
121,19:59:57,19,59,Evening
122,07:50:05,7,50,Morning
123,12:15:49,12,15,Afternoon
124,13:38:32,13,38,Afternoon
125,03:02:20,3,2,Morning
126,16:23:30,16,23,Afternoon
127,21:19:54,21,19,Evening
128,06:48:05,6,48,Morning
129,00:17:47,0,17,Morning
130,05:43:27,5,43,Morning
131,17:06:37,17,6,Afternoon
132,20:42:34,20,42,Evening
133,01:06:25,1,6,Morning
134,11:57:32,11,57,Morning
135,13:08:42,13,8,Afternoon
136,17:00:45,17,0,Afternoon
137,14:18:34,14,18,Afternoon
138,05:10:08,5,10,Morning
139,19:48:47,19,48,Evening
140,15:53:45,15,53,Afternoon
141,13:28:26,13,28,Afternoon
142,05:49:28,5,49,Morning
143,22:56:46,22,56,Evening
144,17:20:35,17,20,Afternoon
145,13:45:08,13,45,Afternoon
146,11:37:11,11,37,Morning
147,11:55:33,11,55,Morning
148,13:08:27,13,8,Afternoon
149,13:25:40,13,25,Afternoon
150,23:58:58,23,58,Evening
151,12:06:41,12,6,Afternoon
152,21:05:56,21,5,Evening
153,20:02:58,20,2,Evening
154,23:41:51,23,41,Evening
155,07:59:14,7,59,Morning
156,12:01:50,12,1,Afternoon
157,13:26:07,13,26,Afternoon
158,03:40:01,3,40,Morning
159,00:45:39,0,45,Morning
160,03:40:31,3,40,Morning
161,11:48:15,11,48,Morning
162,05:52:48,5,52,Morning
163,09:03:44,9,3,Morning
164,02:57:15,2,57,Morning
165,02:46:04,2,46,Morning
166,07:43:05,7,43,Morning
167,22:59:57,22,59,Evening
168,23:33:10,23,33,Evening
169,03:25:36,3,25,Morning
170,07:36:52,7,36,Morning
171,22:50:12,22,50,Evening
172,12:39:51,12,39,Afternoon
173,17:09:10,17,9,Afternoon
174,09:50:54,9,50,Morning
175,04:00:29,4,0,Morning
176,23:24:54,23,24,Evening
177,18:50:08,18,50,Evening
178,23:01:26,23,1,Evening
179,14:43:35,14,43,Afternoon
180,19:08:56,19,8,Evening
181,10:21:50,10,21,Morning
182,23:14:43,23,14,Evening
183,09:47:36,9,47,Morning
184,21:13:48,21,13,Evening
185,10:48:09,10,48,Morning
186,14:17:08,14,17,Afternoon
187,10:20:07,10,20,Morning
188,01:30:09,1,30,Morning
189,11:47:18,11,47,Morning
190,02:11:09,2,11,Morning
191,15:47:42,15,47,Afternoon
192,07:12:38,7,12,Morning
193,05:29:28,5,29,Morning
194,07:20:42,7,20,Morning
195,22:45:48,22,45,Evening
196,21:03:11,21,3,Evening
197,11:46:46,11,46,Morning
198,11:15:24,11,15,Morning
199,06:28:52,6,28,Morning
200,04:22:44,4,22,Morning
201,07:39:23,7,39,Morning
202,10:06:10,10,6,Morning
203,01:24:22,1,24,Morning
204,12:24:05,12,24,Afternoon
205,02:00:44,2,0,Morning
206,01:46:12,1,46,Morning
207,17:54:31,17,54,Afternoon
208,04:42:36,4,42,Morning
209,11:14:33,11,14,Morning
210,19:19:46,19,19,Evening
211,04:38:29,4,38,Morning
212,22:34:18,22,34,Evening
213,04:13:30,4,13,Morning
214,13:45:10,13,45,Afternoon
215,10:44:34,10,44,Morning
216,05:34:40,5,34,Morning
217,14:50:12,14,50,Afternoon
218,16:22:51,16,22,Afternoon
219,11:01:49,11,1,Morning
220,16:37:26,16,37,Afternoon
221,18:11:20,18,11,Evening
222,14:42:40,14,42,Afternoon
223,11:25:52,11,25,Morning
224,07:34:10,7,34,Morning
225,23:49:25,23,49,Evening
226,13:22:17,13,22,Afternoon
227,12:53:32,12,53,Afternoon
228,12:11:16,12,11,Afternoon
229,20:27:44,20,27,Evening
230,13:57:07,13,57,Afternoon
231,23:27:13,23,27,Evening
232,20:28:24,20,28,Evening
233,01:54:21,1,54,Morning
234,17:11:54,17,11,Afternoon
235,17:44:48,17,44,Afternoon
236,22:01:26,22,1,Evening
237,17:01:33,17,1,Afternoon
