product_id,product_name,company_name,selling_price
7794,Basmati Rice Premium,India Gate,176.4
9849,Instant Coffee,Bru,83.3
3386,Digestive Biscuits,Britannia,139.05
6445,Toothpaste Gel,Colgate,366.53
7742,Instant Noodles Pack,Maggi,805.86
2862,Sunflower Oil 1L,Fortune,667.64
1776,Basmati Rice Premium,India Gate,525.23
6825,Refined Sugar,Madhur,232.77
2663,Bath Soap Herbal,Pears,830.37
1755,Basmati Rice Premium,India Gate,252.36
5654,Refined Sugar,Madhur,241.55
4695,Bath Soap Herbal,Pears,261.62
1302,Refined Sugar,Madhur,874.21
8618,Potato Chips Salted,Lays,355.04
2321,Potato Chips Salted,Lays,258.62
1304,Digestive Biscuits,Britannia,521.83
7173,Tea Powder Strong,Tata Tea,287.8
6540,Iodized Cooking Salt,Tata Salt,229.47
1007,Tea Powder Strong,Tata Tea,516.57
2214,Sunflower Oil 1L,Fortune,709.48
7520,Sunflower Oil 1L,Fortune,660.44
1697,Milk Chocolate Bar,Cadbury,315.63
5001,Shampoo Anti-Dandruff,Head & Shoulders,228.86
2923,Bath Soap Herbal,Pears,706.57
1429,Dishwash Liquid,Vim,750.69
6388,Bath Soap Herbal,Pears,731.62
4153,Milk Chocolate Bar,Cadbury,277.41
8068,Milk Chocolate Bar,Cadbury,90.52
2220,Shampoo Anti-Dandruff,Head & Shoulders,207.86
4061,Digestive Biscuits,Britannia,445.22
6950,Refined Sugar,Madhur,346.92
4941,Instant Coffee,Bru,308.75
4122,Sunflower Oil 1L,Fortune,171.69
8510,Sunflower Oil 1L,Fortune,340.65
3078,Instant Coffee,Bru,120.15
9733,Tea Powder Strong,Tata Tea,191.93
5783,Refined Sugar,Madhur,180.36
7886,Instant Coffee,Bru,62.83
6479,Instant Noodles Pack,Maggi,357.78
3479,Toothpaste Gel,Colgate,770.13
4000,Shampoo Anti-Dandruff,Head & Shoulders,335.45
9510,Wheat Flour Select,Aashirvaad,812.02
8427,Digestive Biscuits,Britannia,631.21
2360,Dishwash Liquid,Vim,370.47
4818,Iodized Cooking Salt,Tata Salt,798.95
9955,Bath Soap Herbal,Pears,614.38
6006,Toothpaste Gel,Colgate,545.61
5996,Milk Chocolate Bar,Cadbury,297.6
9215,Refined Sugar,Madhur,264.64
2025,Basmati Rice Premium,India Gate,113.57
2187,Instant Coffee,Bru,58.01
0,,Madhur,407.51
6470,Iodized Cooking Salt,Tata Salt,672.85
2117,Instant Noodles Pack,Maggi,313.5
8290,Toothpaste Gel,Colgate,889.14
9228,Dishwash Liquid,Vim,108.37
8307,Laundry Detergent,Surf Excel,563.15
1633,Instant Coffee,Bru,245.61
9519,Shampoo Anti-Dandruff,Head & Shoulders,221.88
8523,Instant Noodles Pack,Maggi,71.22
2030,Dishwash Liquid,Vim,173.63
3562,Refined Sugar,Madhur,238.86
9919,Iodized Cooking Salt,Tata Salt,674.04
8059,Bath Soap Herbal,Pears,487.42
1685,Basmati Rice Premium,India Gate,692.22
4140,Sunflower Oil 1L,Fortune,109.46
7080,Toothpaste Gel,Colgate,161.33
3025,Potato Chips Salted,Lays,788.98
3379,Sunflower Oil 1L,Fortune,278.75
7883,Bath Soap Herbal,Pears,397.09
2194,Iodized Cooking Salt,Tata Salt,764.4
6722,Basmati Rice Premium,India Gate,577.25
3846,Toothpaste Gel,Colgate,819.14
4084,Bath Soap Herbal,Pears,801.06
8117,Instant Coffee,Bru,784.89
4817,Toothpaste Gel,Colgate,464.78
6502,Laundry Detergent,Surf Excel,376.85
3021,Iodized Cooking Salt,Tata Salt,678.55
7407,Instant Noodles Pack,Maggi,627.67
6512,Instant Coffee,Bru,767.19
7588,Bath Soap Herbal,Pears,419.85
3914,Wheat Flour Select,Aashirvaad,827.76
5904,Instant Noodles Pack,Maggi,684.16
4996,Milk Chocolate Bar,Cadbury,751.34
