Transaction_ID,Invoice_No,Transaction_Date,Transaction_Time,Time_Zone,Transaction_Type,Transaction_Status,Customer_ID,Customer_Type,Customer_Age,Customer_Gender,Loyalty_Points,Product_ID,Product_Name,Company_Name,Product_Category,Brand_Type,Unit_Type,Shelf_Life_Days,Barcode,Supplier_ID,Supplier_Region,Delivery_Status,Transport_Mode,Delivery_Cost,Opening_Stock,Stock_Received,Stock_Sold,Stock_Damaged,Reorder_Level,Cost_Price,Selling_Price,Discount_Percentage,Tax_Percentage,Quantity_Sold,Payment_Method,Payment_Status,Amount_Paid,Outstanding_Debt,Store_ID,Store_Location,Store_Size_SqFt,Daily_Footfall,Staff_On_Duty,Store_Rating,Peak_Hour_Flag,Credit_Allowed,Gross_Sales,Net_Sales
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,INV993415,2024-03-11,0 days 10:06:30,GMT,Return,Completed,16553.0,Wholesale,22.0,Male,4424.0,7794.0,Basmati Rice Premium,India Gate,Grains,National,Piece,313.0,498613769747,715.0,South,Delayed,Truck,200.0,464.0,146.0,3.0,4.0,69.0,63.69,176.4,13.76,12.0,6.0,Card,Paid,3855.51,3000.0,16.0,Town,3417.0,349.0,16.0,3.2,True,True,1058.4,912.7641600000002
3.0,INV139225,2023-09-28,0 days 02:51:32,GMT,Sale,Pending,15759.0,Wholesale,34.0,Female,6183.0,9849.0,Instant Coffee,Bru,Beverages,National,Kg,276.0,694449194985,582.0,East,Cancelled,Truck,600.0,141.0,177.0,38.0,3.0,34.0,114.22,83.3,27.4,18.0,1.0,Card,Pending,3638.27,5000.0,11.0,Town,4535.0,616.0,20.0,3.2,True,True,83.3,60.4758
4.0,,2023-04-17,,EST,Sale,Completed,17755.0,Occasional,,,,,,Madhur,Sweeteners,International,Piece,247.0,,590.0,East,Delivered,Bike,600.0,305.0,166.0,13.0,1.0,,175.46,790.98,11.75,,4.0,,Pending,,5000.0,6.0,Town,2910.0,1461.0,,4.0,False,True,3163.92,
5.0,INV269054,2023-03-13,0 days 04:46:47,GMT,Sale,Completed,23384.0,Occasional,36.0,Male,714.0,3386.0,Digestive Biscuits,Britannia,Snacks,Local,Piece,319.0,749222132320,739.0,South,Delayed,Bike,400.0,352.0,107.0,2.0,0.0,107.0,256.55,139.05,27.55,12.0,5.0,Card,Paid,3760.33,3000.0,20.0,Village,4750.0,496.0,23.0,4.4,False,True,695.25,503.7086249999999
6.0,INV258898,2024-12-01,0 days 06:21:52,PST,Sale,Cancelled,39928.0,Occasional,24.0,Female,6290.0,6445.0,Toothpaste Gel,Colgate,Personal Care,Local,Kg,222.0,718216120145,674.0,East,Delayed,Truck,200.0,356.0,69.0,44.0,4.0,93.0,302.45,366.53,11.77,5.0,3.0,UPI,Pending,3074.09,0.0,21.0,City,2433.0,1171.0,23.0,4.7,True,True,1099.59,970.1682569999999
7.0,INV815520,2023-01-21,0 days 22:26:11,GMT,Sale,Completed,37478.0,Wholesale,43.0,Male,3989.0,7742.0,Instant Noodles Pack,Maggi,Packaged Food,National,Kg,460.0,975722462134,628.0,South,Cancelled,Truck,800.0,104.0,164.0,40.0,1.0,75.0,227.27,805.86,12.92,5.0,6.0,Cash,Paid,917.91,0.0,10.0,Town,4558.0,1661.0,13.0,3.8,True,True,4835.16,4210.457328
8.0,INV585602,2024-09-06,0 days 15:42:52,IST,Return,Cancelled,43897.0,Wholesale,42.0,Male,241.0,2862.0,Sunflower Oil 1L,Fortune,Edible Oils,Local,Piece,181.0,186962675752,590.0,South,Delayed,Bike,600.0,109.0,75.0,9.0,0.0,99.0,182.63,667.64,22.51,5.0,4.0,Card,Pending,520.09,0.0,20.0,Town,2268.0,426.0,4.0,4.9,False,True,2670.56,2069.4169439999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,INV756359,2024-04-11,0 days 01:32:14,GMT,Sale,Completed,42374.0,Regular,61.0,Female,5168.0,1776.0,Basmati Rice Premium,India Gate,Grains,National,Kg,101.0,813759695021,830.0,West,Delivered,Van,800.0,88.0,173.0,35.0,3.0,47.0,142.26,525.23,19.72,12.0,4.0,Card,Paid,3797.81,3000.0,14.0,City,1550.0,1377.0,23.0,2.8,True,False,2100.92,1686.618576
